,0,1,document,model,brand,DougScore
0,-0.062831275,0.32869425,"Page: McLaren Speedtail
Summary: The McLaren Speedtail is a limited-production hybrid sports car manufactured by McLaren Automotive, revealed on October 26, 2018. This car is the fourth edition in the McLaren Ultimate Series, after the Senna, the P1, and the F1. The car is also part of the 18 new cars or derivatives that McLaren will launch as part of its Track22 business plan.",McLaren Speedtail,McLaren,74.0
1,-0.15891203,0.32654127,"Page: McLaren F1
Summary: The McLaren F1 is a sports car designed and manufactured by British automobile manufacturer McLaren Cars, and powered by the BMW S70/2 V12 engine. The original concept was conceived by Gordon Murray, who successfully convinced Ron Dennis to back the project, and hired car designer Peter Stevens to design the exterior and interior of the car. On 31 March 1998, the XP5 prototype with a modified rev limiter set the Guinness World Record for the world's fastest production car, reaching 240.1 mph (386.4 km/h), surpassing the modified Jaguar XJ220's 217.1 mph (349 km/h) record from 1993.
The car features numerous proprietary designs and technologies; it is lighter and has a more streamlined structure than many modern sports cars, despite having one seat more than most similar sports cars, with the driver's seat located in the centre (and slightly forward) of two passengers' seating positions, providing driver visibility superior to that of a conventional seating layout. It was conceived as an exercise in creating what its designers hoped would be considered the ultimate road car. Despite not having been designed as a track machine, a modified race car edition of the vehicle won several races, including the 1995 24 Hours of Le Mans, where it faced purpose-built prototype race cars. Production began in 1992 and ended in 1998. In all, 106 cars were manufactured, with some variations in the design.In 1994, the British car magazine Autocar stated in a road test regarding the F1, ""The McLaren F1 is the finest driving machine yet built for the public road."" They further stated, ""The F1 will be remembered as one of the great events in the history of the car, and it may possibly be the fastest production road car the world will ever see."" In 2005, Channel4 placed the car at number one on their list of the 100 greatest cars, calling it ""the greatest automotive achievement of all time"". In popular culture, the McLaren F1 has earned its spot as 'The greatest automobile ever created' and 'The Most Excellent Sports Car of All Time' amongst a wide variety of car enthusiasts and lovers. Notable past and present McLaren F1 owners include Lewis Hamilton, Elon Musk, Rowan Atkinson, Jay Leno, George Harrison, Ralph Lauren, Nick Mason, and the Sultan of Brunei.
In the April 2017 issue of Top Gear Magazine, the McLaren F1 was listed as one of the fastest naturally aspirated cars currently available in the world, and in the same league as more modern vehicles such as the Ferrari Enzo and Aston Martin One-77 despite being produced and engineered 10 years prior to the Ferrari Enzo and 17 years prior to the Aston Martin One-77.",McLaren F1,McLaren,74.0
2,-0.027884679,-0.01697658,"Page: Lucid Air
Summary: The Lucid Air is a battery electric 4-door sedan made by Lucid Motors. Announced in December 2016 and sold starting in 2021, it is designed to compete with the Tesla Model S, the Fisker Karma, the Porsche Taycan, as well as other luxury electric vehicles made by Mercedes-Benz, BMW and Audi.The Dream Edition's EPA range is estimated at 520 mi (840 km). The production model was unveiled in September 2020, and production began in late 2021.In November 2020, the Lucid Air Pure was announced with 406 mi (653 km) of projected range and 480 horsepower (360 kW) and a starting price of US$77,400. The range of trim levels includes Pure, Touring, Grand Touring, and Dream Edition.On September 28, 2021, Lucid Motors announced that production had begun, with the base Pure model expected in late 2022. Deliveries commenced on October 30, 2021, with the first reservation holders taking delivery of Air Dream Editions in an event in California.",Lucid Air Dream Edition,Lucid,73.0
3,0.22508937,-0.123915225,"Page: GMC Hummer EV
Summary: The GMC Hummer EV (badged as HEV) is a line of battery electric heavy-duty vehicles produced by General Motors since 2021, and sold as a sub-brand under the GMC marque. The Hummer EV is offered in two variants: a pickup truck and a sport utility vehicle (SUV), unveiled in October 2020 and April 2021 respectively. As of Q3 2022, 783 units have been delivered to customers.Weighing roughly 10,000 pounds, the Hummer EV is among the heaviest consumer automobiles currently sold in the United States. Its size, mass, and acceleration have led to concerns about the danger it may pose to other road users in the event of collisions, as well as its efficiency and environmental impact.",GMC Hummer EV Pickup,GMC,73.0
4,0.31172347,-0.043723628,"Page: Rivian R1T
Summary: The Rivian R1T is a battery electric mid-size light duty luxury pickup truck produced by the American company Rivian. The first production R1T rolled off the assembly line in Illinois and was delivered to a customer in September 2021. The official EPA range for the Rivian R1T (MY 2022–2023) ranges from 289–352 mi (465–566 km), depending on drivetrain, battery pack capacity and wheel size.",Rivian R1T,Rivian,73.0
5,0.028191093,-0.07068633,"Page: Tesla Model S
Summary: The Tesla Model S is a battery electric full-size luxury sedan with a liftback body style built by Tesla, Inc. since 2012. The Model S features a battery-powered dual-motor, all-wheel drive layout, although earlier versions featured a rear-motor and rear-wheel drive layout.
Development of the Model S began prior to 2007, under the codename ""WhiteStar"". The Model S was officially announced on June 30, 2008, and a prototype vehicle was unveiled in March 2009. The Model S debuted on June 22, 2012. A revised, dual-motor, all-wheel-drive version, known as the 60D, debuted on October 9, 2014. The 60D was followed by the 70D, which made dual-motor and all-wheel drive the standard, followed by the 85D, P85D, and P90D. Along with these updates, Tesla offered the Autopilot driving assistance system. The first major design refresh came in April 2016 when the Model S was updated with a new front hood design. In October of the same year, hardware became standard that supports Tesla's Full Self Driving (FSD) capability. As part of the update, integrated standard cameras around the car were added. In February 2017 the Tesla Model S P100D debuted, which included a revised motor and was the first electric vehicle to have an EPA estimated range exceeding 300 miles (483 km). The second major design refresh, codenamed ""Palladium"", was introduced in June 2021, offering a new ""Plaid"" performance model, along with a revised interior, powertrain, and suspension.",Tesla Model S Plaid,Tesla,73.0
6,0.03628182,0.3639845,"Page: Bugatti Divo
Summary: The Bugatti Divo is a mid-engine track-focused sports car developed and manufactured by Bugatti Automobiles S.A.S. The car is named after French racing driver Albert Divo, who raced for Bugatti in the 1920s winning the Targa Florio race twice. It was revealed on 24 August 2018 at “The Quail – A Motorsports Gathering“ in California, United States.",Bugatti Divo,Bugatti,73.0
7,0.03232378,0.24041563,"Page: Bugatti Chiron
Summary: The Bugatti Chiron is a mid-engine two-seater sports car designed and developed in Germany by Bugatti Engineering GmbH and manufactured in Molsheim, France, by French automobile manufacturer Bugatti Automobiles S.A.S. The successor to the Bugatti Veyron, the Chiron was first shown at the Geneva Motor Show on 1 March 2016. The car's design was initially previewed with the Bugatti Vision Gran Turismo concept car unveiled at the 2015 Frankfurt Auto Show.The car is named after the Monégasque driver Louis Chiron. The car shares the name with the 1999 Bugatti 18/3 Chiron concept car.",Bugatti Chiron Pur Sport,Bugatti,73.0
8,0.03232378,0.24041562,"Page: Bugatti Chiron
Summary: The Bugatti Chiron is a mid-engine two-seater sports car designed and developed in Germany by Bugatti Engineering GmbH and manufactured in Molsheim, France, by French automobile manufacturer Bugatti Automobiles S.A.S. The successor to the Bugatti Veyron, the Chiron was first shown at the Geneva Motor Show on 1 March 2016. The car's design was initially previewed with the Bugatti Vision Gran Turismo concept car unveiled at the 2015 Frankfurt Auto Show.The car is named after the Monégasque driver Louis Chiron. The car shares the name with the 1999 Bugatti 18/3 Chiron concept car.",Bugatti Chiron,Bugatti,73.0
9,-0.2160897,0.2968094,"Page: Ferrari Monza SP
Summary: The Ferrari Monza SP1 and SP2 are limited production sports cars produced by Italian automobile manufacturer Ferrari, introduced in 2018 for the 2019 model year. The cars mark the start of a new lineage of models called the ""Icona"" series, a program aimed at creating special cars inspired by classic Ferrari models, all to be produced in limited series. The first cars of the new lineage are the Monza SP1 and SP2, whose designs are inspired by the 750 Monza, 250 Testarossa and 166 MM. The SP1 and SP2 nomenclature refers to the number of seats for each model. 499 units are expected to be produced at a price of €1.58 million before options.",Ferrari Monza SP1,Ferrari,72.0
